0 6 -0.00010028561203069173
1 6 -1.3362268676427618e-05
2 6 3.9843209595875593e-05
3 6 2.7750718114657393e-05
4 6 2.7750718114657393e-05
5 1 1.0124260900555241e-05
6 2 6.7583505312738464e-06
7 3 4.8403529864311099e-06
8 5 3.6548401592424389e-06
9 4 2.8679468763600969e-06
10 5 2.3158893598102084e-06
11 5 1.9119549970901004e-06
12 6 1.606650600322714e-06
13 6 1.3698643333351679e-06
14 5 1.1823047578757805e-06
15 5 1.0310905096011638e-06
16 5 9.0733229731998695e-07
17 6 8.0484943365538504e-07
18 6 7.186864712719566e-07
19 5 6.4579249439274526e-07
20 5 5.8350648081206786e-07
21 4 5.2986960827197357e-07
22 4 4.8330153732996397e-07
23 4 4.4263880381602857e-07
24 3 4.0691177972504927e-07
25 4 3.7536395520250482e-07
26 2 3.4735642772189385e-07
27 1 3.224054402513536e-07
28 0 3.0013669804351412e-07
29 0 2.8018559304154291e-07
30 0 2.8018559304154291e-07
