0.0 -0.00010579996350799783 -0.00010580000627182287 -0.00010580002988041806 -0.00010580004430271241 -0.00010580005376787119 -0.00010580006028125762 -0.00010580006496185437 -0.00010580006843955879
1.0 2.0523439635720926e-06 2.052354177920135e-06 2.0523597411824301e-06 2.0523631798272119e-06 2.0523654178321326e-06 2.0523669645775054e-06 2.0523680639663014e-06 2.0523688990416084e-06
2.0 4.1856610355046249e-05 4.1856618336010087e-05 4.1856622625756352e-05 4.1856625260353164e-05 4.1856626993793175e-05 4.1856628168941641e-05 4.1856629031345248e-05 4.1856629654865601e-05
3.0 2.5926049533373238e-05 2.5926053969932926e-05 2.5926056316307942e-05 2.5926057725650949e-05 2.5926058662214259e-05 2.5926059310892893e-05 2.5926059735564313e-05 2.5926060101049353e-05
4.0 1.436896833571077e-05 1.4368971304351355e-05 1.4368972739524025e-05 1.4368973580549769e-05 1.4368974082798236e-05 1.4368974451702021e-05 1.4368974690216066e-05 1.4368974903467849e-05
5.0 8.5776896563063428e-06 8.5776927776051402e-06 8.5776939398748666e-06 8.5776945763176643e-06 8.5776949241630757e-06 8.5776951739829481e-06 8.577695286800171e-06 8.5776954537704226e-06
6.0 5.660816280556282e-06 5.6608212303984183e-06 5.6608227064749221e-06 5.6608233361326742e-06 5.6608236068228768e-06 5.660823859560687e-06 5.6608239553834042e-06 5.6608240549024631e-06
7.0 4.0470169834473705e-06 4.0470261890287885e-06 4.047028617805178e-06 4.0470294728813705e-06 4.0470297473638252e-06 4.0470300634912519e-06 4.047030126411341e-06 4.0470302648102658e-06
8.0 3.0592307919824268e-06 3.0592479583911522e-06 3.0592521237121689e-06 3.0592535990806477e-06 3.0592539911660123e-06 3.0592544050400043e-06 3.0592543572593191e-06 3.0592546142727382e-06
9.0 2.4041354953485415e-06 2.4041659240548075e-06 2.4041732265039637e-06 2.4041756077826351e-06 2.4041762415850392e-06 2.4041768877508772e-06 2.404176842847865e-06 2.4041770611147771e-06
10.0 1.9436909197447494e-06 1.9437421954420161e-06 1.9437544439438759e-06 1.9437582946427401e-06 1.9437594855035025e-06 1.9437603574965828e-06 1.9437602558019927e-06 1.943760642769466e-06
11.0 1.6060686897125754e-06 1.6061513392937641e-06 1.6061708078844611e-06 1.6061770338018238e-06 1.6061788598146069e-06 1.6061801124230017e-06 1.6061799128804829e-06 1.6061803490990314e-06
12.0 1.3504246408484799e-06 1.3505522260279163e-06 1.3505826155421553e-06 1.3505919731298112e-06 1.3505946143430206e-06 1.3505962611388022e-06 1.3505960683768796e-06 1.3505970869135524e-06
