0 6 2 -7.2296953423102634e-05
1 6 2 8.0958525807338035e-06
2 6 2 2.3607300796849467e-05
3 6 2 1.362798275077047e-05
4 4 2 7.630436797926423e-06
5 5 2 4.7106231094132768e-06
6 1 3 3.1970902676636298e-06
7 3 1 2.3248204124287178e-06
8 2 1 1.7739389831548359e-06
9 3 0 1.4014902532469005e-06
10 5 4 1.1367731636160486e-06
11 6 3 9.4137597916062117e-07
12 3 1 7.9279661110022871e-07
13 4 1 6.7706720507956232e-07
14 4 1 5.851067882106324e-07
15 3 0 5.107827337062515e-07
16 3 1 4.4983912667923547e-07
17 3 1 3.9923204718259169e-07
18 3 1 3.5673931382417719e-07
19 3 1 3.2070818863595494e-07
20 3 1 2.8989100005243117e-07
21 3 1 2.6332131693308351e-07
22 3 1 2.402556907282308e-07
23 3 2 2.2009731208189245e-07
24 3 2 2.0238152376569384e-07
25 2 1 1.8672638949676138e-07
26 2 1 1.7283286072706615e-07
27 1 3 1.6041317891385001e-07
28 1 3 1.4930009520705868e-07
29 2 1 1.3934058482791555e-07
30 3 1 1.3031924831877743e-07
