0 7 -0.00010337734676596862 -0.00010337731054560603 -0.00010337733932882847 1 -0.00010337732524862077
1 7 5.3592991248034576e-06 5.3593095383117964e-06 5.3593078922235031e-06 0 5.3592991248034576e-06
2 7 4.0252843411911248e-05 4.0252849961138534e-05 4.0252848593369592e-05 0 4.0252843411911248e-05
3 7 2.4273583953457454e-05 2.4273588227994728e-05 2.4273587280261178e-05 0 2.4273583953457454e-05
4 7 1.3301478040103005e-05 1.3301481077282237e-05 1.3301480327041911e-05 1 1.3301479106613874e-05
5 7 7.919801933646924e-06 7.919804392799355e-06 7.9198038106333731e-06 0 7.919801933646924e-06
6 7 5.2325362333493036e-06 5.2325392223832804e-06 5.2325380265062588e-06 0 5.2325362333493036e-06
7 7 3.7472400180201302e-06 3.7472424080337864e-06 3.7472422756950253e-06 0 3.7472400180201302e-06
8 6 2.8363086982487378e-06 2.8363126471618041e-06 2.83631200882329e-06 0 2.8363086982487378e-06
9 7 2.2308488915916312e-06 2.2308553019282258e-06 2.2308545903989575e-06 0 2.2308488915916312e-06
10 6 1.8045991932920281e-06 1.8046114048019953e-06 1.8046080201141804e-06 2 1.8046080195881363e-06
11 6 1.4917236480596473e-06 1.4917406859638222e-06 1.4917378179024358e-06 0 1.4917236480596473e-06
12 6 1.2546672029103047e-06 1.254695493447069e-06 1.2546888933809822e-06 2 1.2546882841251878e-06
13 6 1.0704762332093667e-06 1.0705178874976949e-06 1.0705087946825613e-06 0 1.0704762332093667e-06
14 6 9.2437375206556254e-07 9.2443160742539644e-07 9.2442109296894201e-07 0 9.2437375206556254e-07
15 6 8.0645562685290574e-07 8.0653839361858696e-07 8.0652348333380878e-07 0 8.0645562685290574e-07
16 6 7.0986040567492995e-07 7.0997032727011914e-07 7.0995421161541412e-07 3 7.0995537086771418e-07
17 6 6.2970697295520612e-07 6.2984997337203085e-07 6.2983397607553701e-07 2 6.2983154637659971e-07
18 6 5.6243943137184058e-07 5.6263766123701586e-07 5.6260974268190186e-07 2 5.6260513652948571e-07
19 5 5.0541906711986171e-07 5.0567990089418782e-07 5.0563970446730861e-07 2 5.0563970446730861e-07
20 6 4.5664864480402136e-07 4.5696939830807481e-07 4.5694252779050199e-07 0 4.5664864480402136e-07
21 7 4.1459384834067691e-07 4.1515165309544211e-07 4.149827965291381e-07 1 4.1488375741113787e-07
22 7 3.7805844699928983e-07 3.7860130213266164e-07 3.7856283744767125e-07 2 3.7853416749058932e-07
23 6 3.4610337633325365e-07 3.467547937624975e-07 3.4672069763659551e-07 1 3.4659200448966657e-07
24 6 3.1798027290123609e-07 3.1879802228205805e-07 3.1875256326845608e-07 0 3.1798027290123609e-07
25 7 2.930808207530514e-07 2.9415489525361044e-07 2.9406946138586272e-07 0 2.930808207530514e-07
26 7 2.7090604838388967e-07 2.7225399309347405e-07 2.7214484670055364e-07 0 2.7090604838388967e-07
27 6 2.5105218386672921e-07 2.52611680491859e-07 2.5252070853782427e-07 0 2.5105218386672921e-07
28 7 2.3318983631378643e-07 2.3513744349823242e-07 2.3500387479538638e-07 1 2.3457344004544213e-07
29 7 2.1702251497070074e-07 2.1947363242840778e-07 2.1922954282454056e-07 0 2.1702251497070074e-07
30 6 2.0231180242760522e-07 2.0513684920670449e-07 2.0494499843946172e-07 2 2.0488600107161526e-07
