0 6 -7.2596879845787679e-05
1 6 1.1078530587778174e-05
2 6 1.1078530587778174e-05
3 6 1.1078530587778174e-05
4 0 7.3084779786350451e-06
5 1 4.4762665898308441e-06
6 3 3.0317554109417255e-06
7 2 2.2042858947788003e-06
8 3 1.6824168467938483e-06
9 2 1.3295446064033471e-06
10 3 1.0786407957331752e-06
11 3 8.9337245913516818e-07
12 3 7.5245716612700332e-07
13 3 6.4267233282453524e-07
14 3 5.554191316459675e-07
15 3 4.848941488010441e-07
16 3 4.2705928193127911e-07
17 3 3.7902892602639741e-07
18 2 3.3869953448101528e-07
19 2 3.044990914088395e-07
20 2 2.7524505319632125e-07
21 2 2.5002455979796976e-07
22 2 2.2813016981557906e-07
23 2 2.0898853110277634e-07
24 1 1.9216882890711341e-07
25 0 1.7731810649170653e-07
26 0 1.7731810649170653e-07
27 0 1.7731810649170653e-07
28 0 1.7731810649170653e-07
29 4 1.3166282858464916e-07
30 3 1.2372563791580317e-07
0 6 -7.2596879845787679e-05
1 6 1.1078530587778174e-05
2 6 1.1078530587778174e-05
3 6 1.1078530587778174e-05
4 0 7.3084779786350451e-06
5 1 4.4762665898308441e-06
6 3 3.0317554109417255e-06
7 2 2.2042858947788003e-06
8 3 1.6824168467938483e-06
9 2 1.3295446064033471e-06
10 3 1.0786407957331752e-06
11 3 8.9337245913516818e-07
12 3 7.5245716612700332e-07
13 3 6.4267233282453524e-07
14 3 5.554191316459675e-07
15 3 4.848941488010441e-07
16 3 4.2705928193127911e-07
17 3 3.7902892602639741e-07
18 2 3.3869953448101528e-07
19 2 3.044990914088395e-07
20 2 2.7524505319632125e-07
21 2 2.5002455979796976e-07
22 2 2.2813016981557906e-07
23 2 2.0898853110277634e-07
24 1 1.9216882890711341e-07
25 0 1.7731810649170653e-07
26 0 1.7731810649170653e-07
27 0 1.7731810649170653e-07
28 0 1.7731810649170653e-07
29 4 1.3166282858464916e-07
30 3 1.2372563791580317e-07
